fiscal_year,amount,amount_million
2004,0.0,0
2005,4065075.182,4
2006,8615075.182,9
2007,18754399.732,19
2008,24738267.862,25
2009,25871569.888666667,26
2010,21806494.706666667,22
2011,32159442.741666667,32
2012,40988074.1,41
2013,45540267.388333336,46
2014,57926511.663333334,58
2015,77552655.84833333,78
2016,91566654.195,92
2017,94665835.58333334,95
2018,122171597.01833335,122
2019,191443008.09833333,191
2020,144862579.805,145
2021,225789588.19,226
2022,371903916.28999996,372
2023,256097704.325,256
2024,34392207.5,34
