count,ave_length,tech,aor
276,560.7826086956521,GPS,Atlanta
4649,551.7268229726823,SmartLINK,Atlanta
310,2083.6709677419353,VoiceID,Atlanta
101,302.009900990099,GPS,Baltimore
3281,654.0825967692776,SmartLINK,Baltimore
57,1657.5964912280701,VoiceID,Baltimore
100,292.02,GPS,Boston
7043,444.3156325429504,SmartLINK,Boston
2,904.0,VoiceID,Boston
9,409.6666666666667,GPS,Buffalo
317,322.2807570977918,SmartLINK,Buffalo
270,1675.4925925925927,VoiceID,Buffalo
261,465.97318007662835,GPS,Chicago
12258,599.7856093979442,SmartLINK,Chicago
1,2050.0,No Tech,Chicago
765,2248.124183006536,VoiceID,Chicago
83,379.9759036144578,GPS,Dallas
1726,608.6002317497104,SmartLINK,Dallas
1,104.0,No Tech,Dallas
5,1429.8,VoiceID,Dallas
35,171.4857142857143,GPS,Denver
2726,448.9765223771093,SmartLINK,Denver
50,714.34,VeriWatch,Denver
85,2217.6117647058823,VoiceID,Denver
79,588.6962025316456,GPS,Detroit
9324,730.0845130845131,SmartLINK,Detroit
657,2428.5981735159817,VoiceID,Detroit
126,152.64285714285714,GPS,El Paso
1780,276.1241573033708,SmartLINK,El Paso
237,1381.970464135021,VoiceID,El Paso
106,306.99056603773585,GPS,Harlingen
14859,264.18668820243624,SmartLINK,Harlingen
217,261.2350230414747,No Tech,Harlingen
1,575.0,VoiceID,Harlingen
308,499.93506493506493,GPS,Houston
2950,357.3810169491525,SmartLINK,Houston
445,332.2314606741573,GPS,Los Angeles
9606,402.94940662086196,SmartLINK,Los Angeles
1,15.0,No Tech,Los Angeles
50,486.22,VeriWatch,Los Angeles
1144,1687.2342657342658,VoiceID,Los Angeles
430,382.43023255813955,GPS,Miami
17254,427.16749739190914,SmartLINK,Miami
19,1284.2105263157894,VoiceID,Miami
96,454.3645833333333,GPS,New Orleans
4211,593.4692472096889,SmartLINK,New Orleans
1,1326.0,No Tech,New Orleans
38,1718.5526315789473,VoiceID,New Orleans
310,561.7290322580645,GPS,New York
8788,490.1016158397815,SmartLINK,New York
3,296.0,No Tech,New York
204,2060.1666666666665,VoiceID,New York
272,336.55882352941177,GPS,Newark
12671,640.5306605634914,SmartLINK,Newark
6,1048.8333333333333,No Tech,Newark
1281,2416.5167837626855,VoiceID,Newark
22,400.5,GPS,Philadelphia
9240,452.6942640692641,SmartLINK,Philadelphia
23,1704.9130434782608,VoiceID,Philadelphia
102,148.30392156862746,GPS,Phoenix
6167,184.6179665964002,SmartLINK,Phoenix
71,244.0,No Tech,Phoenix
69,577.9855072463768,GPS,Salt Lake City
7296,570.5730537280701,SmartLINK,Salt Lake City
112,1961.4107142857142,VoiceID,Salt Lake City
76,164.32894736842104,GPS,San Antonio
11524,234.08009371745922,SmartLINK,San Antonio
309,277.621359223301,No Tech,San Antonio
71,606.4507042253521,VoiceID,San Antonio
176,706.4886363636364,GPS,San Diego
5154,324.01920838183935,SmartLINK,San Diego
17,1029.1764705882354,No Tech,San Diego
92,2146.021739130435,VoiceID,San Diego
686,469.365889212828,GPS,San Francisco
15744,576.2716590447154,SmartLINK,San Francisco
2,266.0,No Tech,San Francisco
2478,2131.6723163841807,VoiceID,San Francisco
113,219.39823008849558,GPS,Seattle
6518,644.1383860079779,SmartLINK,Seattle
1,1320.0,No Tech,Seattle
389,2293.0282776349613,VoiceID,Seattle
101,697.5544554455446,GPS,St Paul
2930,839.4764505119454,SmartLINK,St Paul
1,86.0,No Tech,St Paul
266,2481.2255639097743,VoiceID,St Paul
327,494.651376146789,GPS,Washington DC
3929,576.8121659455333,SmartLINK,Washington DC
2,1740.0,No Tech,Washington DC
16,1535.875,VoiceID,Washington DC
